Kind,Name,CountLineCode,SumCyclomatic
Public Method,"org.apache.commons.collections.AbstractTestObject.testSerializeDeserializeThenCompare",13,2
Public Method,"org.apache.commons.collections.AbstractTestObject.testSimpleSerialization",7,2
Protected Method,"org.apache.commons.collections.AbstractTestObject.writeExternalFormToBytes",5,1
Protected Method,"org.apache.commons.collections.AbstractTestObject.writeExternalFormToDisk",4,1
Private Method,"org.apache.commons.collections.AbstractTestObject.writeExternalFormToStream",4,1
Public Class,"org.apache.commons.collections.ArrayStack",68,17
Public Constructor,"org.apache.commons.collections.ArrayStack.ArrayStack",3,1
Public Constructor,"org.apache.commons.collections.ArrayStack.ArrayStack",3,1
Public Method,"org.apache.commons.collections.ArrayStack.empty",3,1
Public Method,"org.apache.commons.collections.ArrayStack.get",7,2
Public Method,"org.apache.commons.collections.ArrayStack.peek",8,2
Public Method,"org.apache.commons.collections.ArrayStack.peek",8,2
Public Method,"org.apache.commons.collections.ArrayStack.pop",8,2
Public Method,"org.apache.commons.collections.ArrayStack.push",4,1
Public Method,"org.apache.commons.collections.ArrayStack.remove",7,2
Public Method,"org.apache.commons.collections.ArrayStack.search",14,3
Public Interface,"org.apache.commons.collections.Bag",13,0
Abstract Method,"org.apache.commons.collections.Bag.add",1,0
Abstract Method,"org.apache.commons.collections.Bag.add",1,0
Abstract Method,"org.apache.commons.collections.Bag.containsAll",1,0
Abstract Method,"org.apache.commons.collections.Bag.getCount",1,0
Abstract Method,"org.apache.commons.collections.Bag.iterator",1,0
Abstract Method,"org.apache.commons.collections.Bag.remove",1,0
Abstract Method,"org.apache.commons.collections.Bag.remove",1,0
Abstract Method,"org.apache.commons.collections.Bag.removeAll",1,0
Abstract Method,"org.apache.commons.collections.Bag.retainAll",1,0
Abstract Method,"org.apache.commons.collections.Bag.size",1,0
Abstract Method,"org.apache.commons.collections.Bag.uniqueSet",1,0
Public Class,"org.apache.commons.collections.BagUtils",36,11
Public Constructor,"org.apache.commons.collections.BagUtils.BagUtils",2,1
Public Static Method,"org.apache.commons.collections.BagUtils.predicatedBag",3,1
Public Static Method,"org.apache.commons.collections.BagUtils.predicatedSortedBag",3,1
